ZIPCode;Latitude;Longitude
663 00;41.07532;24.22716
661 00;41.15044;24.15226
660 31;41.05088;24.18795
660 33;41.34397;23.86659
660 32;41.09927;24.28926
660 37;41.12867;24.32167
660 35;41.2667;24.50154
662 00;41.17864;23.97216
660 34;41.06491;24.03944
681 00;40.84704;25.86194
680 12;40.96;26.26
683 00;41.46181;26.35568
680 07;41.70458;26.29794
680 06;41.57097;26.25409
680 04;41.27196;26.38174
680 10;41.4216;26.25409
680 01;41.58994;26.54388
682 00;41.46181;26.35568
680 13;40.96603;26.26814
680 14;41.62338;26.42605
680 02;40.44768;25.59179
684 00;41.12975;26.22501
680 03;41.12975;26.22501
685 00;40.75842;26.02883
640 12;40.96389;24.35793
641 00;40.91554;24.25341
640 04;40.73441;24.72617
640 05;40.65923;24.68924
652 01;41.00451;24.5005
653 02;40.94036;24.41362
654 03;40.94032;24.39951
654 04;40.92721;24.38465
655 00;40.94797;24.37173
640 11;40.88069;24.71957
640 09;41.15652;24.63678
640 03;41.02591;24.40545
640 02;40.63976;24.59333
640 08;40.86012;24.10074
640 07;40.84426;24.30239
640 01;40.94727;24.13907
640 10;39.5495;21.5839
654 04;40.92721;24.38465
642 00;40.98414;24.70419
670 61;40.98434;24.96355
670 64;41.06815;25.01101
672 00;40.9669;24.83301
673 00;41.27586;24.97285
670 63;40.95446;25.19484
671 00;41.13593;24.884
671 50;41.13593;24.884
670 62;41.25117;24.66679
692 00;41.12422;25.1822
690 00;41.11887;25.40553
691 00;41.11887;25.40553
694 00;40.9374;25.44966
695 00;41.25355;25.68122
693 00;41.08353;25.71018
182 33;37.9541;23.68241
123 51;37.99084;23.65915
153 41;38.00158;23.8198
153 42;38.00903;23.8317
153 43;38.01902;23.8317
135 61;38.02831;23.72186
135 62;38.02831;23.72186
172 36;37.94698;23.74469
173 41;37.93344;23.72312
173 42;37.92559;23.73056
173 43;37.93934;23.73651
104 31;37.98433;23.72647
104 32;37.98675;23.72833
104 33;37.98925;23.72833
104 34;37.99472;23.72907
104 35;37.98178;23.71642
104 36;37.98365;23.7194
104 37;37.98427;23.72238
104 38;37.9877;23.72386
104 39;37.9902;23.72386
104 40;37.99395;23.72386
104 41;37.98852;23.71122
104 42;37.99572;23.70676
104 43;38.00289;23.71419
104 44;37.99476;23.71717
104 45;38.00599;23.72312
104 46;38.00207;23.72684
104 47;37.98792;23.70229
105 51;37.98026;23.72795
105 52;37.98183;23.72647
105 53;37.97958;23.72089
105 54;37.97863;23.72535
105 55;37.97574;23.72572
105 56;37.97424;23.72833
105 57;37.97344;23.73502
105 58;37.97112;23.72535
105 59;37.98057;23.72944
105 60;37.97823;23.7287
105 61;37.97884;23.73167
105 62;37.97697;23.73167
105 63;37.97572;23.73167
105 64;37.97994;23.73242
106 71;37.97734;23.73725
106 72;37.9807;23.73762
106 73;37.97921;23.74023
106 74;37.97389;23.74171
106 75;37.97576;23.74469
106 76;37.97841;23.74692
106 77;37.98526;23.73093
106 78;37.98369;23.73242
106 79;37.98173;23.73428
106 80;37.9836;23.73725
106 81;37.9854;23.73614
106 82;37.98908;23.73204
106 83;37.98806;23.73539
111 41;38.01782;23.73799
111 42;38.02655;23.74395
111 43;38.01972;23.72907
111 44;38.01706;23.73279
111 45;38.01536;23.72609
111 46;38.01685;23.74841
112 51;37.99769;23.72981
112 52;38.00237;23.7313
112 53;38.00659;23.73204
112 54;38.01081;23.73279
112 55;38.01218;23.74097
112 56;38.00517;23.73576
112 57;37.99924;23.73428
113 61;38.0011;23.73725
113 62;37.99797;23.74023
113 63;38.00091;23.74692
113 64;38.00655;23.74395
114 71;37.98341;23.74692
114 72;37.98733;23.7432
114 73;37.98921;23.74023
114 74;37.99341;23.74692
114 75;37.99199;23.75064
114 76;37.99901;23.75585
115 21;37.98261;23.75361
115 22;37.99151;23.75585
115 23;37.99024;23.7618
115 24;37.99774;23.7618
115 25;37.99706;23.77667
115 26;37.99333;23.77072
115 27;37.98956;23.77667
115 28;37.974;23.75585
116 31;37.95826;23.73874
116 32;37.95981;23.7432
116 33;37.96573;23.75064
116 34;37.97105;23.74915
116 35;37.9695;23.74469
116 36;37.9653;23.73799
117 41;37.96364;23.7194
117 42;37.96784;23.72609
117 43;37.9622;23.72907
117 44;37.95533;23.72609
117 45;37.95409;23.72014
118 51;37.97224;23.71717
118 52;37.96679;23.71047
118 53;37.96727;23.70527
118 54;37.9768;23.71047
118 55;37.98198;23.7008
161 21;37.96836;23.75882
122 41;37.9904;23.68349
122 42;37.9904;23.68349
122 43;37.9904;23.68349
122 44;37.9904;23.68349
174 55;37.91234;23.71576
174 56;37.91234;23.71576
176 55;37.91234;23.71576
164 51;37.91107;23.74914
164 52;37.91107;23.74914
152 35;38.03403;23.82956
162 31;37.96137;23.75296
162 32;37.96137;23.75296
162 33;37.96137;23.75296
111 46;38.01319;23.75521
111 47;38.01319;23.75521
165 61;37.88539;23.77816
165 62;37.90475;23.79303
166 72;37.8246;23.79303
166 74;37.86977;23.76923
166 75;37.87171;23.74841
167 77;37.8874;23.73353
172 34;37.95141;23.72981
172 35;37.95092;23.73502
172 36;37.94698;23.74469
172 37;37.95402;23.74395
145 78;38.10764;23.83765
146 71;38.10082;23.82278
167 77;37.97918;23.71665
157 71;37.9771;23.76477
157 72;37.97167;23.79601
157 73;37.98049;23.77816
163 41;37.92179;23.74841
163 42;37.92545;23.77816
163 43;37.93703;23.77667
163 44;37.94585;23.75882
163 45;37.94054;23.75436
163 46;37.93587;23.74692
141 21;38.04768;23.7737
141 22;38.05581;23.77072
141 23;38.06919;23.78411
131 21;38.037;23.7008
131 22;38.037;23.7008
131 23;38.037;23.7008
161 21;37.9699;23.75682
161 22;37.9699;23.75682
176 71;37.95786;23.71419
176 72;37.95413;23.70824
176 73;37.94852;23.69932
176 74;37.94291;23.69039
176 75;37.95089;23.69113
176 76;37.96148;23.70601
134 51;38.05647;23.70106
145 61;38.07535;23.80196
145 62;38.07397;23.8317
145 63;38.07943;23.86442
145 64;38.09161;23.79601
